id,brand_name,items_Decribtion,ratings,prices,Category
34,Intel,Intel Core i9-9940X Skylake X 14-Core 3.3 GHz (4.4 GHz Turbo) LGA 2066 165W BX80673I99940X Desktop Processor,(1),"1,239.73",cpu
35,AMD,Intel Core i5-9500 6-Core 3.0 GHz LGA 1151 (300 Series) 65W CM8068403362610 Desktop Processor Intel UHD Graphics 630 - OEM,(198),472.99,cpu
36,Intel,AMD Ryzen 5 2600X Socket AM4 OEM Processor - YD260XBCM6IAF,(42),918.38,cpu
37,AMD,"INTEL CM8068403654319 INTEL XEON E-2134 PROCESSOR (8M CACHE, 3.5 GHZ) LGA1151",(628),"1,021.99",cpu
38,Intel,Intel Core i5-9500 Coffee Lake 6-Core 3.0 GHz (4.4 GHz Turbo) LGA 1151 (300 Series) 65W BX80684i59500 Desktop Processor Intel UHD Graphics 630,(828),"1,736.26",cpu
39,Intel,AMD RYZEN 5 2600 6-Core 3.4 GHz (3.9 GHz Max Boost) Socket AM4 65W YD2600BBAFBOX Desktop Processor,(233),"4,901.99",cpu
40,Intel,CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28...,(198),"6,381.99",cpu
41,Intel,Kingston 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Desktop Me...,(198),259.74,cpu
42,Intel,CORSAIR Vengeance LPX 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600)...,"(1,177)","1,111.19",cpu
43,Intel,CORSAIR Vengeance LPX 128GB (4 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 2560...,(706),"13,739.99",cpu
44,AMD,Intel Core i5-7500 Kaby Lake Quad-Core 3.4 GHz LGA 1151 65W BX80677I57500 Desktop Processor,(706),"6,821.99",cpu
45,Intel,AMD RYZEN 5 3600X 6-Core 3.8 GHz (4.4 GHz Max Boost) Socket AM4 95W 100-100000022 Desktop Processor – OEM - OEM,(706),"9,074.99",cpu
46,AMD,Intel Core i7-9700KF Coffee Lake 8-Core 3.6 GHz (4.9 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I79700KF Desktop Processor Without Graphics,(195),"1,542.38",cpu
47,Intel,Intel Xeon Gold 5122 4-Core Socket 3647 Processor CD8067303330702 - OEM/TRAY,(26),383.35,cpu
48,Intel,Intel Xeon 5220 18 Core 2.20 GHz Processor LGA-3647 CD8069504214601,(26),"1,405.54",cpu
